Language,Trial,Number of Digits
Python,66,5646
Python,67,5648
Python,68,5647
Python,69,5655
Python,70,5663
Python,71,5664
Python,72,5664
Python,73,5655
Python,74,5667
Python,75,5644
Python,76,5644
Python,77,5637
Python,78,5642
Python,79,5649
Python,80,5651
Python,81,5635
Python,82,5641
Python,83,5645
Python,84,5645
Python,85,5667
Python,86,5673
Python,87,5635
Python,88,5630
Python,89,5643
Python,90,5648
Python,91,5628
Python,92,5644
Python,93,5650
Python,94,5653
Python,95,5619
Python,96,5617
Python,97,5640
Python,98,5649
Python,99,5664
Python,100,5668
